annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;taux_d_emploi;taux_d_emploi_salarie_en_france;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2019;MASTER LMD;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;18;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;SD07;1480;2480;disc17_03_18;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns
2016;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;40;98;;;87;66;30;84;100;1950;30400;ns;ns;30;;8.5;1830;SD07;1450;2180;disc17_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;53;89;;;100;78;55;63;98;2000;31200;ns;ns;27;;7.8;1900;SD07;1470;2330;disc17_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;;92;;;96;;46;53;95;1730;27000;1500;2060;;;10.1;1830;SD07;1460;2230;disc17_03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Odontologie;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_04;Odontologie;1;ns;;;ns;ns;ns;ns;ns;nd;nd;nd;nd;ns;ns;7.8;1930;SD08;1490;2380;disc17_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Odontologie;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_04;Odontologie;;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;;;10.1;1830;SD08;1460;2230;disc17_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pharmacie;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_05;Pharmacie;41;93;;;95;94;58;78;100;2720;42400;ns;ns;34;;9.9;1870;SD09;1490;2280;disc17_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pharmacie;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_05;Pharmacie;10;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1930;SD09;1490;2380;disc17_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pharmacie;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_05;Pharmacie;49;93;;;96;74;55;55;98;2000;31200;ns;ns;37;;7.8;1900;SD09;1470;2330;disc17_05_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pharmacie;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_05;Pharmacie;42;95;;;100;97;75;68;100;2820;43900;ns;ns;19;;9.3;1870;SD09;1480;2280;disc17_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pharmacie;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_05;Pharmacie;138;91;;;96;86;64;73;99;2500;39000;2000;2900;28;70;9.3;1870;SD09;1480;2280;disc17_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pharmacie;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_05;Pharmacie;125;92;;;100;78;60;71;96;2280;35500;1900;2850;26;72;10.1;1830;SD09;1460;2230;disc17_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;677;90;;;82;39;44;64;85;1600;25000;1400;1850;37;38;7.8;1900;SD10;1470;2330;disc17_06_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;230;89;;;73;34;43;65;84;1520;23700;1300;1750;34;;9.9;1870;SD10;1490;2280;disc17_06_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;777;91;;;82;37;38;67;85;1650;25700;1410;1930;34;42;7.8;1930;SD10;1490;2380;disc17_06_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;378;94;;;82;48;43;77;87;1710;26700;1400;1950;30;;9.3;1870;SD10;1480;2280;disc17_06_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;331;92;;;86;36;35;65;86;1600;25000;1400;1850;35;;7.8;1930;SD10;1490;2380;disc17_06_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;MASTER LMD;18 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;517;90;;;73;36;43;70;88;1690;28100;1460;1980;32;;7.2;1980;SD10;1480;2480;disc17_06_18;12;4;51;3;;28;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;6;5;11;20;7;30;3;1;16
2020;MASTER LMD;30 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;298;96;90;78;80;41;41;79;87;1800;28100;1600;2070;32;;6.9;2020;SD10;1530;2510;disc17_06_30;10;3;66;0;;18;0;1;0;0;0;0;53;21;42;1;26;0;0;0;0;1;2;0;0;12;2;1;6;2;10;5;35;17;7;0;5;7;10;24;8;31;2;2;10
2020;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;512;94;89;75;84;44;40;81;89;1950;30300;1610;2300;34;;6.9;2020;SD10;1530;2510;disc17_06_30;14;3;63;0;;18;0;0;0;0;0;0;59;18;43;2;23;0;0;0;0;0;3;1;0;16;3;1;7;2;6;7;26;19;9;0;5;9;8;27;6;35;2;1;8
2012;MASTER LMD;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_06;Sciences et techniques des activités physiques et sportives;;89;;;70;;49;60;76;1430;22400;1280;1700;;;10.1;1830;SD10;1460;2230;disc17_06_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_07;Pluridisciplinaire sciences;192;90;;;91;64;50;52;98;1750;27300;1540;2000;39;54;7.8;1900;SD70;1470;2330;disc17_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_07;Pluridisciplinaire sciences;101;94;;;100;66;43;79;97;2000;31200;1750;2350;26;;9.9;1870;SD70;1490;2280;disc17_07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_07;Pluridisciplinaire sciences;235;95;;;94;76;40;76;94;1970;30700;1700;2300;28;50;9.3;1870;SD70;1480;2280;disc17_07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_07;Pluridisciplinaire sciences;77;97;;;94;61;57;66;99;1950;30400;1720;2550;28;;7.2;1980;SD70;1480;2480;disc17_07_30;1;6;59;0;;29;1;3;0;0;0;0;1;29;61;1;6;1;0;1;0;13;24;1;2;7;4;4;19;1;7;9;4;0;4;0;1;0;19;42;7;27;2;0;2
2014;MASTER LMD;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_07;Pluridisciplinaire sciences;118;93;;;86;56;49;53;92;1750;27300;1500;2170;23;;9.3;1870;SD70;1480;2280;disc17_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_07;Pluridisciplinaire sciences;211;89;;;91;64;54;56;95;1750;27300;1540;2100;34;59;8.5;1830;SD70;1450;2180;disc17_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;27;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;SD68;1470;2330;disc17_08_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;408;92;;;97;84;55;89;99;2350;36700;2050;2620;30;18;7.2;1980;SD68;1480;2480;disc17_08_30;2;0;86;1;;9;0;1;0;0;0;1;2;6;88;2;2;0;1;0;0;1;32;8;1;6;16;4;24;1;3;2;2;1;0;1;1;1;4;79;4;9;0;0;1
2020;MASTER LMD;18 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;242;92;89;78;95;82;54;78;98;2200;36300;1980;2500;23;;6.9;2020;SD68;1530;2510;disc17_08_18;2;2;74;1;;19;0;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;6;76;2;11;1;1;2
2020;MASTER LMD;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;299;92;89;78;95;82;55;79;99;2200;36700;1990;2500;24;19;6.9;2020;SD68;1530;2510;disc17_08_18;1;1;75;1;;18;0;3;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;5;77;2;12;1;1;2
2016;MASTER LMD;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;30;86;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;34;;8.5;1830;SD68;1450;2180;disc17_08_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;35;88;;;100;88;38;94;100;ns;ns;ns;ns;32;15;8.5;1830;SD68;1450;2180;disc17_08_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;39;90;;;86;58;47;77;95;1740;27200;ns;ns;29;45;9.7;1800;SD68;;;disc17_08_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;30 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;27;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;SD68;1470;2330;disc17_08_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;30 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;80;89;;;97;86;45;95;100;2370;37000;2080;2600;26;;7.8;1930;SD68;1490;2380;disc17_08_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_08;Pluridisciplinaire sciences fondamentales et applications;55;92;;;93;51;42;78;98;1770;27600;ns;ns;33;45;8.6;1865;SD68;1475;2280;disc17_08_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER ENS;18 mois après le diplôme;femmes et hommes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;4177;97;;;92;84;24;87;92;1700;26500;1630;1800;40;80;9.9;1870;;1490;2280;disc18_18;1;81;6;;;10;1;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;81;4;5;2;3;0;4
2018;MASTER ENS;18 mois après le diplôme;femmes et hommes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;;98;;;93;86;23;86;92;1710;26700;1600;1880;19;76;7.8;1930;;1490;2380;disc18_18;0;81;6;12;;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;3;83;2;4;3;3;3;0
2019;MASTER ENS;18 mois après le diplôme;hommes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;1378;97;;;91;80;36;80;90;1800;29100;1650;2000;22;;7.2;1980;;1480;2480;disc18_18;1;72;7;0;;19;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;77;3;7;4;6;1;2
2019;MASTER ENS;30 mois après le diplôme;femmes et hommes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;5912;98;;;92;83;27;85;92;1800;28100;1700;2000;21;77;7.2;1980;;1480;2480;disc18_30;1;76;8;0;;14;1;0;0;0;0;0;1;89;7;1;2;0;0;0;0;0;1;1;0;2;1;1;1;4;85;2;2;1;1;0;0;0;79;4;6;4;4;0;3
2020;MASTER ENS;18 mois après le diplôme;hommes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;1516;96;94;90;90;79;38;76;91;1900;31200;1700;2100;20;;6.9;2020;;1530;2510;disc18_18;1;66;9;0;;22;2;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;75;3;8;4;5;1;3
2015;MASTER ENS;30 mois après le diplôme;femmes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;3847;98;;;94;87;23;91;92;1800;28100;1730;1960;18;;8.6;1865;;1475;2280;disc18_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER ENS;30 mois après le diplôme;hommes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;;96;;;94;86;42;90;95;1800;28100;1700;1950;;;10.1;1830;;1460;2230;disc18_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER ENS;30 mois après le diplôme;femmes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;4540;98;;;95;89;20;90;93;1770;27600;1690;1900;16;;7.8;1900;;1470;2330;disc18_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER ENS;18 mois après le diplôme;hommes;Masters enseignement>Masters enseignement>Masters enseignement;MEEF;Masters enseignement;disc18;Masters enseignement;disc18;Masters enseignement;1067;98;;;94;88;41;90;93;1800;28100;1680;1970;19;;8.6;1865;;1475;2280;disc18_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;MASTER ENS;30 mois après le diplôme;femmes et hommes;Masters enseignement>Masters enseignement : premier degré>Masters enseignement : premier degré;MEEF;Masters enseignement;disc19;Masters enseignement : premier degré;disc19;Masters enseignement : premier degré;2388;98;;;95;86;42;88;94;1800;28100;1560;1720;29;69;9.7;1800;;;;disc19_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_04;Langues et littératures anciennes;;;;;;;;;;;;;;;;7.8;1930;SD18;1490;2380;disc06_04_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_04;Langues et littératures anciennes;4;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;9.3;1870;SD18;1480;2280;disc06_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_04;Langues et littératures anciennes;4;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;SD18;1480;2280;disc06_04_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_04;Langues et littératures anciennes;2;ns;;;ns;ns;ns;ns;ns;nd;nd;nd;nd;ns;ns;8.5;1830;SD18;1450;2180;disc06_04_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;MASTER LMD;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_04;Langues et littératures anciennes;23;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;29;ns;9.7;1800;SD18;;;disc06_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_04;Langues et littératures anciennes;0;nd;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;;7.8;1900;SD18;1470;2330;disc06_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_04;Langues et littératures anciennes;2;ns;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;SD18;1450;2180;disc06_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_05;Langues et littératures étrangères;81;84;;;73;55;45;73;79;1810;28200;ns;ns;40;;9.9;1870;SD23;1490;2280;disc06_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_05;Langues et littératures étrangères;225;81;;;67;40;39;48;82;1500;23400;1300;1830;45;;7.8;1900;SD23;1470;2330;disc06_05_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_05;Langues et littératures étrangères;267;87;;;73;59;43;63;76;1700;26500;1390;1830;37;;9.9;1870;SD23;1490;2280;disc06_05_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_05;Langues et littératures étrangères;286;84;;;69;47;41;57;81;1680;26200;1400;2000;47;;7.8;1930;SD23;1490;2380;disc06_05_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_05;Langues et littératures étrangères;262;90;;;80;60;42;69;88;1700;26500;1390;1910;37;;9.3;1870;SD23;1480;2280;disc06_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
