annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;taux_d_emploi;taux_d_emploi_salarie_en_france;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2015;MASTER LMD;18 mois après le diplôme;hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);12539;88;;;88;67;44;70;95;1960;30600;1630;2300;28;;8.6;1865;;1475;2280;disc00_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;6911;91;;;81;52;38;77;96;1900;29600;1600;2280;25;;9.9;1870;;1490;2280;disc01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;5297;92;;;90;70;43;75;98;2120;33000;1800;2500;24;;7.8;1900;;1470;2330;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;;92;;;91;69;46;77;98;2170;33800;1830;2560;23;;7.8;1930;;1490;2380;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;12584;93;;;85;59;41;79;98;2000;31300;1690;2450;25;59;9.3;1870;;1480;2280;disc01_30;4;5;71;;0;16;0;2;0;0;1;1;2;12;3;73;6;3;;;0;1;11;2;;15;7;19;11;4;3;9;6;2;10;;;;6;53;3;22;1;0;14
2018;MASTER LMD;18 mois après le diplôme;femmes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;;91;;;87;57;40;71;97;1960;30600;1650;2300;26;;7.8;1930;;1490;2380;disc01_18;1;3;67;0;;24;0;2;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;6;51;3;26;1;0;11
2018;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;13587;92;;;89;62;43;73;98;2010;31400;1700;2430;25;60;7.8;1930;;1490;2380;disc01_18;2;3;68;0;;21;0;2;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;6;55;3;23;1;0;9
2019;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;5241;94;;;93;72;43;84;99;2370;36900;1990;2800;24;;7.2;1980;;1480;2480;disc01_30;4;4;75;0;;13;0;1;0;0;0;1;4;12;74;3;5;1;0;0;0;1;13;3;3;13;11;20;12;4;2;10;3;2;4;0;2;2;9;61;3;17;1;0;4
2019;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;7911;95;;;90;63;40;80;98;2100;32800;1800;2500;27;;7.2;1980;;1480;2480;disc01_30;3;4;73;0;;17;0;1;0;0;0;1;3;15;69;2;9;2;0;0;0;1;10;2;3;14;8;16;11;5;3;11;7;2;5;0;1;2;9;51;5;23;1;0;7
2019;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;13159;94;;;91;66;41;82;98;2200;34300;1850;2630;26;60;7.2;1980;;1480;2480;disc01_30;4;4;74;0;;15;0;1;0;0;0;1;3;14;71;2;7;2;0;0;0;1;11;2;3;14;9;18;11;5;3;11;6;2;5;0;2;2;9;55;4;21;1;0;6
