session;type_du_diplome;filiere;diplome;intitule_du_diplome;code_du_diplome;scolaires_presents;scolaires_admis;taux_de_reussite_scolaire;apprentis_presents;apprentis_admis;taux_de_reussite_en_apprentissage;formation_continue_presents;formation_continue_admis;taux_de_reussite_en_formation_continue;individuels_presents;individuels_admis;taux_de_reussite_individuel;enseignement_a_distance_presents;enseignement_a_distance_admis;taux_de_reussite_enseignement_a_distance;total_presents;total_admis;taux_de_reussite_total;diplome_court
2019;CAP;Construction, bâtiment, travaux publics;CAP 23317 INSTALLATEUR SANITAIRE;INSTALLATEUR SANITAIRE;23317;901;746;0.827968923418424;74;51;0.689189189189189;88;82;0.931818181818182;1;0;0.0;;;;1064;879;0.8261278195488722;CAP INSTALLATEUR SANITAIRE
2019;CAP;Construction, bâtiment, travaux publics;CAP 23318 CARRELEUR MOSAISTE;CARRELEUR MOSAISTE;23318;300;235;0.783333333333333;47;34;0.723404255319149;25;22;0.88;;;;;;;372;291;0.782258064516129;CAP CARRELEUR MOSAISTE
2019;CAP;Construction, bâtiment, travaux publics;CAP 23320 SOLIER-MOQUETTISTE;SOLIER-MOQUETTISTE;23320;;;;4;4;1.0;3;3;1.0;;;;;;;7;7;1.0;CAP SOLIER-MOQUETTISTE
2019;CAP;Construction, bâtiment, travaux publics;CAP 23441 MENUISIER FABRICT MEN MOB AGENCM;MENUISIER FABRICT MEN MOB AGENCM;23441;1266;991;0.782780410742496;80;71;0.8875;175;171;0.977142857142857;50;49;0.98;;;;1571;1282;0.8160407383831955;CAP MENUISIER FABRICT MEN MOB AGENCM
2019;CAP;Electricité, électronique/numérique, environnement;CAP 22713 INSTALLATEUR THERMIQUE;INSTALLATEUR THERMIQUE;22713;620;492;0.793548387096774;73;58;0.794520547945205;334;310;0.92814371257485;1;0;0.0;;;;1028;860;0.8365758754863813;CAP INSTALLATEUR THERMIQUE
2019;CAP;Gestion-administration, transport, logistique, sécurité;CAP 31117 CONDUCTEUR ROUTIER MARCHANDISES;CONDUCTEUR ROUTIER MARCHANDISES;31117;539;464;0.860853432282004;61;60;0.983606557377049;75;73;0.973333333333333;;;;;;;675;597;0.8844444444444445;CAP CONDUCTEUR ROUTIER MARCHANDISES
2019;CAP;Gestion-administration, transport, logistique, sécurité;CAP 31118 CONDUCTEUR LIVREUR MARCHANDISES;CONDUCTEUR LIVREUR MARCHANDISES;31118;1671;1465;0.87672052663076;;;;;;;18;12;0.666666666666667;;;;1689;1477;0.8744819419775015;CAP CONDUCTEUR LIVREUR MARCHANDISES
2019;CAP;Mer;CAP 25217 REPAR.ENTR.EMBARCATIONS PLAISANCE;REPAR.ENTR.EMBARCATIONS PLAISANCE;25217;527;460;0.872865275142315;24;24;1.0;25;21;0.84;3;0;0.0;;;;579;505;0.8721934369602763;CAP REPAR.ENTR.EMBARCATIONS PLAISANCE
2019;CAP;Métiers d'art;CAP 22425 ARTS & TECH.VERRE: VITRAILLISTE;ARTS & TECH.VERRE: VITRAILLISTE;22425;8;5;0.625;;;;5;5;1.0;;;;;;;13;10;0.7692307692307693;CAP ARTS & TECH.VERRE: VITRAILLISTE
2019;CAP;Métiers d'art;CAP 22428 ARTS DU VERRE ET DU CRISTAL;ARTS DU VERRE ET DU CRISTAL;22428;29;28;0.96551724137931;1;1;1.0;1;1;1.0;2;2;1.0;;;;33;32;0.9696969696969697;CAP ARTS DU VERRE ET DU CRISTAL
2019;CAP;Métiers d'art;CAP 23420 CANNAGE ET PAILLAGE AMEUBLEMENT;CANNAGE ET PAILLAGE AMEUBLEMENT;23420;3;0;0.0;;;;1;1;1.0;1;1;1.0;;;;5;2;0.4;CAP CANNAGE ET PAILLAGE AMEUBLEMENT
2019;CAP;Métiers d'art;CAP 23428 LUTHERIE;LUTHERIE;23428;12;11;0.916666666666667;;;;;;;;;;;;;12;11;0.9166666666666666;CAP LUTHERIE
2019;CAP;Métiers d'art;CAP 23432 ARTS BOIS OP_C: MARQUETEUR;ARTS BOIS OP_C: MARQUETEUR;23432;92;83;0.902173913043478;;;;2;2;1.0;;;;;;;94;85;0.9042553191489362;CAP ARTS BOIS OP_C: MARQUETEUR
2019;CAP;Métiers d'art;CAP 23445 EBENISTE;EBENISTE;23445;894;727;0.813199105145414;14;9;0.642857142857143;196;190;0.969387755102041;23;19;0.826086956521739;;;;1127;945;0.8385093167701864;CAP EBENISTE
2019;CAP;Productique, mécanique, automatisation;CAP 25438 REAL.IND.CHAUD.SOUD. OP.B SOUDAGE;REAL.IND.CHAUD.SOUD. OP.B SOUDAGE;25438;41;33;0.804878048780488;3;3;1.0;3;3;1.0;;;;;;;47;39;0.8297872340425532;CAP REAL.IND.CHAUD.SOUD. OP.B SOUDAGE
2019;CAP;Relation client, commerce, vente;CAP 31214 EMPLOYE COMMERCE MULTISPECIALITES;EMPLOYE COMMERCE MULTISPECIALITES;31214;3783;3335;0.881575469204335;101;90;0.891089108910891;67;59;0.880597014925373;30;25;0.833333333333333;;;;3981;3509;0.8814368249183622;CAP EMPLOYE COMMERCE MULTISPECIALITES
2019;CAP;Relation client, commerce, vente;CAP 31215 EMPLOY.VENTE:PRODUITS ALIMENTAIRES;EMPLOY.VENTE:PRODUITS ALIMENTAIRES;31215;817;688;0.842105263157895;433;380;0.877598152424942;9;7;0.777777777777778;6;6;1.0;;;;1265;1081;0.8545454545454545;CAP EMPLOY.VENTE:PRODUITS ALIMENTAIRES
2019;CAP;Santé, social, services à la personne et à la collectivité;CAP 33610 COIFFURE;COIFFURE;33610;2109;1850;0.87719298245614;373;321;0.86058981233244;123;114;0.926829268292683;5;4;0.8;1;1;1.0;2611;2290;0.8770585982382229;CAP COIFFURE
2019;CAP;Textile, habillement, cuir;CAP 24231 ARTS DU TAPIS ET TAPISS.DE LISSE;ARTS DU TAPIS ET TAPISS.DE LISSE;24231;;;;;;;;;;7;7;1.0;;;;7;7;1.0;CAP ARTS DU TAPIS ET TAPISS.DE LISSE
2019;CAP;Textile, habillement, cuir;CAP 24315 FOURRURE;FOURRURE;24315;9;9;1.0;;;;1;1;1.0;;;;;;;10;10;1.0;CAP FOURRURE
2019;CAP;Textile, habillement, cuir;CAP 24316 CHAUSSURE;CHAUSSURE;24316;2;2;1.0;;;;;;;;;;;;;2;2;1.0;CAP CHAUSSURE
2019;CAP;Textile, habillement, cuir;CAP 24318 SELLERIE GENERALE;SELLERIE GENERALE;24318;38;31;0.815789473684211;3;3;1.0;13;12;0.923076923076923;;;;;;;54;46;0.8518518518518519;CAP SELLERIE GENERALE
2019;CAP;Textile, habillement, cuir;CAP 24322 MAROQUINERIE;MAROQUINERIE;24322;95;78;0.821052631578947;19;19;1.0;277;272;0.981949458483754;21;18;0.857142857142857;;;;412;387;0.9393203883495146;CAP MAROQUINERIE
